zoo,scientificName,commonName,givenName,gender,dateOfBirth,age,isTransportable
Toronto Zoo,Loris tardigratus,Slender loris,Gabby,Male,2023-10-21,38,true
Washington Zoo,Castor canadensis,"Beaver, north american",Laird,Male,2022-01-26,32,true
Toronto Zoo,Dicrostonyx groenlandicus,Collared lemming,Hartwell,Male,2022-03-16,23,false
Washington Zoo,Hyaena brunnea,"Hyena, brown",Billie,Female,2023-08-11,49,false
Vancouver Zoo,Haliaetus leucogaster,"Eagle, white-bellied sea",Lek,Male,2022-06-19,23,false
Washington Zoo,Raphicerus campestris,Steenbuck,Jessee,Male,2022-10-27,59,true
Edmonton Zoo,Falco mexicanus,"Falcon, prairie",Waylan,Male,2021-03-08,56,true
Washington Zoo,Larus dominicanus,"Gull, southern black-backed",Gayla,Female,2023-03-17,79,true
Washington Zoo,Carduelis pinus,Pine siskin,Chet,Male,2023-11-10,27,true
Toronto Zoo,Picoides pubescens,"Woodpecker, downy",Talbot,Male,2024-03-16,25,true
Edmonton Zoo,Plocepasser mahali,White-browed sparrow weaver,Denice,Female,2021-08-03,46,true
Vancouver Zoo,Propithecus verreauxi,Verreaux's sifaka,Cordie,Female,2021-05-09,57,false
Toronto Zoo,Macropus eugenii,Dama wallaby,Anthea,Female,2023-08-12,65,false
Vancouver Zoo,Plectopterus gambensis,Spur-winged goose,Allin,Male,2021-09-08,38,false
Washington Zoo,Ovis ammon,Red sheep,Ulick,Male,2022-06-13,63,true
Washington Zoo,Terrapene carolina,"Turtle, eastern box",Auberon,Male,2021-02-24,68,false
Washington Zoo,Mephitis mephitis,"Skunk, striped",Barbe,Female,2022-07-08,77,true
Washington Zoo,Pteronura brasiliensis,Brazilian otter,Kirbee,Female,2024-03-19,76,false
Toronto Zoo,Rana sp.,Frog (unidentified),Hewet,Male,2024-03-22,19,false
Vancouver Zoo,Oxybelis fulgidus,"Snake, green vine",Zuzana,Female,2022-08-12,65,true
Edmonton Zoo,Alces alces,Moose,Theresita,Female,2022-05-23,28,true
Washington Zoo,Acrantophis madagascariensis,"Constrictor, eastern boa",Joannes,Female,2022-11-06,58,false
Vancouver Zoo,Tetracerus quadricornis,"Antelope, four-horned",Michelle,Female,2022-01-30,50,false
Vancouver Zoo,Meleagris gallopavo,"Turkey, wild",Maurizia,Female,2023-08-14,78,false
Edmonton Zoo,Spilogale gracilis,"Skunk, western spotted",Doyle,Male,2022-06-23,20,true
Vancouver Zoo,Ardea golieth,Goliath heron,Arvy,Male,2021-07-20,65,true
Washington Zoo,Felis concolor,Cougar,Korrie,Female,2023-03-19,22,true
Washington Zoo,Terrapene carolina,Eastern box turtle,Elnar,Male,2021-01-20,66,false
Washington Zoo,Dasyprocta leporina,Agouti,Kinsley,Male,2021-05-10,44,true
Toronto Zoo,Sciurus vulgaris,Eurasian red squirrel,Stephani,Female,2022-04-19,40,true
Washington Zoo,Oreamnos americanus,Mountain goat,Biron,Male,2020-12-24,21,true
Toronto Zoo,Petaurus breviceps,Sugar glider,Hill,Male,2022-07-31,61,true
Washington Zoo,Nucifraga columbiana,Clark's nutcracker,Brnaby,Male,2021-11-20,58,true
Edmonton Zoo,Pelecans onocratalus,"Pelican, eastern white",Reynard,Male,2022-03-21,53,false
Toronto Zoo,Eumetopias jubatus,"Lion, steller sea",Chadd,Male,2023-05-21,18,false
Washington Zoo,Oreotragus oreotragus,Klipspringer,Adrian,Female,2021-03-07,44,true
Toronto Zoo,Varanus sp.,Monitor lizard (unidentified),Sherlock,Male,2022-06-01,35,true
Washington Zoo,Theropithecus gelada,Bleeding heart monkey,Cobbie,Male,2022-12-29,29,true
Toronto Zoo,Propithecus verreauxi,Verreaux's sifaka,Waylen,Male,2023-09-21,59,true
Edmonton Zoo,Morelia spilotes variegata,"Python, carpet",Kat,Female,2023-02-02,75,true
Toronto Zoo,Rangifer tarandus,Caribou,Emlen,Male,2023-10-19,59,false
Vancouver Zoo,Melursus ursinus,Sloth bear,Gaspar,Male,2022-01-19,75,true
Vancouver Zoo,Nucifraga columbiana,"Nutcracker, clark's",Arleyne,Female,2021-05-01,51,true
Edmonton Zoo,Phaethon aethereus,"Bird, red-billed tropic",Gerick,Male,2022-11-07,18,false
Edmonton Zoo,Cacatua tenuirostris,Long-billed corella,Yvonne,Female,2022-08-11,23,false
Edmonton Zoo,Nyctereutes procyonoides,"Dog, raccoon",Burton,Male,2023-04-02,48,true
Toronto Zoo,unavailable,African snake (unidentified),Mae,Female,2023-04-11,76,true
Vancouver Zoo,Sciurus niger,Eastern fox squirrel,Jaime,Female,2022-01-27,54,true
Vancouver Zoo,Tadorna tadorna,"Shelduck, common",Aindrea,Female,2023-11-25,50,true
Vancouver Zoo,Agelaius phoeniceus,"Blackbird, red-winged",Claribel,Female,2022-11-07,28,true
Washington Zoo,Paroaria gularis,"Cardinal, red-capped",Mair,Female,2021-10-25,36,false
Vancouver Zoo,Aonyx capensis,Cape clawless otter,Ingrim,Male,2023-03-30,50,false
Washington Zoo,Odocoilenaus virginianus,White-tailed deer,Elvin,Male,2022-03-30,49,true
Edmonton Zoo,Phoenicopterus chilensis,Chilean flamingo,Ashien,Female,2023-08-22,53,true
Vancouver Zoo,Antechinus flavipes,"Antechinus, brown",Wylie,Male,2022-02-05,27,true
Washington Zoo,Creagrus furcatus,Swallow-tail gull,Robinet,Female,2022-12-12,46,true
Toronto Zoo,Sciurus vulgaris,Eurasian red squirrel,Alisun,Female,2022-05-28,19,false
Toronto Zoo,Camelus dromedarius,"Camel, dromedary",Linnie,Female,2021-11-08,53,true
Vancouver Zoo,Irania gutteralis,"Robin, white-throated",Knox,Male,2022-09-11,42,true
Edmonton Zoo,Marmota monax,Groundhog,Aloisia,Female,2022-06-08,60,true
Vancouver Zoo,Petaurus breviceps,Sugar glider,Christabel,Female,2024-01-29,57,true
Washington Zoo,Ammospermophilus nelsoni,Nelson ground squirrel,Wilhelmina,Female,2022-05-09,60,true
Vancouver Zoo,Canis latrans,Coyote,Raymond,Male,2022-12-26,67,true
Toronto Zoo,Phalacrocorax niger,Little cormorant,Emelita,Female,2021-02-28,23,false
Edmonton Zoo,Porphyrio porphyrio,"Moorhen, purple",Sheryl,Female,2021-02-24,49,false
Edmonton Zoo,Bucephala clangula,"Goldeneye, common",Brendan,Male,2021-05-15,68,false
Washington Zoo,Cervus elaphus,"Deer, red",Nancey,Female,2024-04-17,50,true
Washington Zoo,Odocoilenaus virginianus,White-tailed deer,Myrvyn,Male,2021-05-08,31,true
Edmonton Zoo,Gerbillus sp.,Gerbil (unidentified),Madelaine,Female,2024-03-06,58,true
Washington Zoo,Erethizon dorsatum,"Porcupine, north american",Opal,Female,2022-01-18,76,false
Washington Zoo,Phalacrocorax albiventer,"Cormorant, king",Cloe,Female,2023-05-26,73,true
Washington Zoo,Tyto novaehollandiae,"Owl, australian masked",Henrik,Male,2023-01-12,80,false
Washington Zoo,Hippotragus equinus,"Antelope, roan",Kimberly,Female,2023-06-15,70,false
Edmonton Zoo,Oryx gazella,"Oryx, beisa",Domenic,Male,2021-02-26,43,false
Washington Zoo,Struthio camelus,Ostrich,Vally,Female,2024-02-08,59,true
Edmonton Zoo,Camelus dromedarius,"Camel, dromedary",Taffy,Female,2021-01-29,36,true
Washington Zoo,Anas bahamensis,"Pintail, white-cheeked",Elisabet,Female,2021-03-16,23,true
Vancouver Zoo,Geococcyx californianus,"Roadrunner, greater",Ainslee,Female,2022-05-08,38,true
Edmonton Zoo,Papio cynocephalus,"Baboon, yellow",Broddie,Male,2023-06-13,56,true
Washington Zoo,Dasypus novemcinctus,Nine-banded armadillo,Rubin,Male,2022-10-30,68,false
Toronto Zoo,Bassariscus astutus,Civet cat,Courtenay,Female,2021-04-16,69,false
Vancouver Zoo,Nectarinia chalybea,Lesser double-collared sunbird,Allis,Female,2022-05-02,45,true
Toronto Zoo,Larus fuliginosus,"Gull, lava",Ivie,Female,2022-07-27,36,true
Vancouver Zoo,Psophia viridis,Green-winged trumpeter,Katinka,Female,2023-01-13,39,true
Toronto Zoo,Cervus duvauceli,"Deer, swamp",Maje,Male,2022-08-04,79,false
Washington Zoo,Sciurus vulgaris,Eurasian red squirrel,Blaire,Female,2021-02-17,79,false
Toronto Zoo,Dusicyon thous,"Zorro, common",Aveline,Female,2023-04-01,70,true
Vancouver Zoo,Anathana ellioti,Mandras tree shrew,Benjamin,Male,2023-04-01,53,false
Washington Zoo,Pseudoleistes virescens,"Marshbird, brown and yellow",Ty,Male,2023-03-22,75,false
Toronto Zoo,Chauna torquata,"Screamer, crested",Josias,Male,2021-12-13,39,true
Edmonton Zoo,Paraxerus cepapi,Smith's bush squirrel,Bartlet,Male,2022-04-24,25,false
Washington Zoo,Uraeginthus granatina,"Grenadier, common",Gordy,Male,2022-11-01,18,true
Washington Zoo,Gopherus agassizii,Desert tortoise,Tommie,Male,2022-06-07,32,false
Washington Zoo,Odocoilenaus virginianus,White-tailed deer,Loutitia,Female,2024-04-18,56,true
Edmonton Zoo,Hymenolaimus malacorhynchus,"Duck, blue",Berky,Male,2024-03-01,60,false
Toronto Zoo,Ara chloroptera,"Macaw, red and blue",Hailey,Male,2024-04-16,52,true
Vancouver Zoo,Ourebia ourebi,Oribi,Giacomo,Male,2022-12-31,74,false
Vancouver Zoo,Meleagris gallopavo,"Turkey, wild",Karel,Female,2022-05-28,49,true
Vancouver Zoo,Crocodylus niloticus,"Crocodile, nile",Shalom,Male,2024-04-17,43,true
Vancouver Zoo,Manouria emys,Burmese brown mountain tortoise,See,Male,2021-09-06,25,false
Washington Zoo,Larus novaehollandiae,"Gull, silver",Randolph,Male,2023-03-06,43,true
Washington Zoo,Acridotheres tristis,"Mynah, common",Donnajean,Female,2021-05-27,46,false
Vancouver Zoo,Morelia spilotes variegata,"Snake, carpet",Magdalena,Female,2021-10-01,49,true
Washington Zoo,Macaca fuscata,"Macaque, japanese",Rania,Female,2021-08-04,77,false
Vancouver Zoo,Kobus vardonii vardoni,Puku,Arther,Male,2024-01-26,41,false
Toronto Zoo,Phylurus milli,Barking gecko,Berti,Male,2022-04-29,27,false
Edmonton Zoo,Gymnorhina tibicen,"Magpie, australian",Marlie,Female,2023-06-16,39,true
Vancouver Zoo,Ciconia ciconia,European stork,Tudor,Male,2021-09-08,68,false
Edmonton Zoo,Geochelone elephantopus,Galapagos tortoise,Forster,Male,2022-10-11,32,false
Edmonton Zoo,Zosterops pallidus,Cape white-eye,Rollie,Male,2023-10-02,77,false
Toronto Zoo,Bison bison,"Bison, american",Marshall,Male,2021-09-06,28,false
Edmonton Zoo,Lamprotornis nitens,"Starling, red-shouldered glossy",Fay,Female,2023-07-09,79,false
Vancouver Zoo,Megaderma spasma,Asian false vampire bat,Aleen,Female,2023-11-27,59,true
Washington Zoo,Uraeginthus granatina,"Grenadier, common",Anestassia,Female,2021-09-02,66,true
Vancouver Zoo,Chloephaga melanoptera,"Goose, andean",Bette-ann,Female,2020-12-06,58,true
Washington Zoo,Climacteris melanura,"Creeper, black-tailed tree",Corby,Male,2023-12-14,58,true
Toronto Zoo,Spermophilus lateralis,Golden-mantled ground squirrel,Dasie,Female,2021-01-05,50,true
Washington Zoo,Geochelone elephantopus,Galapagos tortoise,Josh,Male,2022-10-25,41,true
Vancouver Zoo,Eumetopias jubatus,"Lion, steller's sea",Yehudi,Male,2024-02-09,60,false
Vancouver Zoo,Acridotheres tristis,Indian mynah,Alain,Male,2022-04-23,48,true
Toronto Zoo,Vulpes vulpes,Asian red fox,Derwin,Male,2021-02-17,27,true
Washington Zoo,Chauna torquata,Southern screamer,Torin,Male,2023-01-03,76,true
Washington Zoo,Felis chaus,"Cat, jungle",Mufinella,Female,2022-06-23,55,false
Toronto Zoo,Columba livia,Rock dove,Son,Male,2023-12-31,47,true
Washington Zoo,Vulpes chama,Cape fox,Audre,Female,2022-03-05,44,true
Washington Zoo,Megaderma spasma,Asian false vampire bat,Rafferty,Male,2022-10-10,68,true
Washington Zoo,Varanus sp.,"Lizard, goanna",Tommy,Female,2021-11-14,70,false
Vancouver Zoo,Calyptorhynchus magnificus,"Cockatoo, red-tailed",Edee,Female,2021-11-01,41,true
Toronto Zoo,unavailable,Swallow (unidentified),Caldwell,Male,2020-12-02,39,true
Vancouver Zoo,Sula nebouxii,"Booby, blue-footed",Maud,Female,2021-11-24,77,true
Edmonton Zoo,Milvago chimachima,"Caracara, yellow-headed",Glori,Female,2022-08-07,74,false
Toronto Zoo,Rhea americana,Greater rhea,Byrom,Male,2024-03-30,35,true
Toronto Zoo,Catharacta skua,"Skua, great",Mohandis,Male,2022-07-09,59,true
Edmonton Zoo,Macropus robustus,Euro wallaby,Enos,Male,2022-11-16,66,true
Vancouver Zoo,Agama sp.,Agama lizard (unidentified),Artie,Male,2023-04-02,25,false
Vancouver Zoo,Francolinus coqui,Coqui francolin,Fifi,Female,2023-02-20,58,true
Vancouver Zoo,Pseudocheirus peregrinus,Ring-tailed possum,Carmelina,Female,2023-10-17,34,true
Edmonton Zoo,Herpestes javanicus,Javan gold-spotted mongoose,Hersh,Male,2023-01-08,35,false
Toronto Zoo,Vanellus chilensis,"Lapwing, southern",Vivien,Female,2023-09-26,42,false
Washington Zoo,Bubulcus ibis,"Egret, cattle",Nona,Female,2021-12-06,74,true
Toronto Zoo,Platalea leucordia,European spoonbill,Candy,Female,2021-11-20,71,false
Edmonton Zoo,Ctenophorus ornatus,"Dragon, netted rock",Nolana,Female,2022-05-13,34,false
Washington Zoo,Diceros bicornis,Black rhinoceros,Vivianne,Female,2022-05-28,42,false
Vancouver Zoo,Ictalurus furcatus,"Catfish, blue",Web,Male,2021-10-25,28,true
Vancouver Zoo,Felis concolor,"Lion, mountain",Roxi,Female,2023-09-14,55,false
Edmonton Zoo,Vulpes chama,"Fox, cape",Norma,Female,2022-01-10,65,true
Toronto Zoo,Bison bison,"Bison, american",Hana,Female,2023-09-22,40,true
Vancouver Zoo,Aquila chrysaetos,"Eagle, golden",Maisie,Female,2022-09-01,80,true
Vancouver Zoo,Antidorcas marsupialis,Springbok,Jimmy,Male,2021-04-10,40,true
Washington Zoo,Creagrus furcatus,Swallow-tail gull,Mara,Female,2021-02-23,24,true
Vancouver Zoo,Vanellus chilensis,"Lapwing, southern",Ange,Male,2022-10-12,61,false
Washington Zoo,Psophia viridis,Green-winged trumpeter,Franny,Male,2023-11-19,40,false
Vancouver Zoo,Heloderma horridum,Mexican beaded lizard,Richy,Male,2022-03-28,40,false
Edmonton Zoo,Sarcorhamphus papa,"Vulture, king",Skippy,Male,2021-11-04,37,false
Toronto Zoo,Aonyx capensis,Cape clawless otter,Charin,Female,2022-10-26,22,true
Washington Zoo,Laniarius ferrugineus,"Boubou, southern",Dion,Male,2022-08-13,30,true
Toronto Zoo,Ephippiorhynchus mycteria,Jabiru stork,Forbes,Male,2021-07-27,20,false
Vancouver Zoo,Lepilemur rufescens,"Lemur, sportive",Rochette,Female,2022-05-10,35,false
Edmonton Zoo,Platalea leucordia,White spoonbill,Oran,Male,2022-01-07,46,true
Edmonton Zoo,Geochelone radiata,"Tortoise, radiated",Britteny,Female,2022-05-27,72,true
Vancouver Zoo,Dasypus novemcinctus,Common long-nosed armadillo,Eugenia,Female,2021-08-22,55,false
Vancouver Zoo,Bubulcus ibis,"Egret, cattle",Burtie,Male,2021-01-25,61,true
Vancouver Zoo,Tayassu tajacu,Collared peccary,Benedick,Male,2023-06-07,43,true
Vancouver Zoo,Globicephala melas,"Whale, long-finned pilot",Griselda,Female,2022-06-10,20,false
Washington Zoo,Phalacrocorax carbo,"Cormorant, great",Chantal,Female,2021-11-22,49,true
Vancouver Zoo,Neotis denhami,Denham's bustard,Parker,Male,2021-05-28,32,true
Edmonton Zoo,Alcelaphus buselaphus cokii,Kongoni,Veronica,Female,2021-08-12,20,true
Vancouver Zoo,Equus hemionus,Onager,Sherry,Female,2021-01-21,78,true
Edmonton Zoo,Capra ibex,Ibex,Trev,Male,2021-10-27,31,true
Toronto Zoo,Cathartes aura,Turkey vulture,Omero,Male,2021-12-07,30,false
Edmonton Zoo,Sarkidornis melanotos,"Duck, comb",Eleanor,Female,2021-01-23,65,false
Vancouver Zoo,Lutra canadensis,North American river otter,Dulcia,Female,2022-11-05,77,false
Vancouver Zoo,Phalacrocorax niger,"Cormorant, javanese",Dacy,Female,2022-01-19,61,true
Toronto Zoo,Ratufa indica,Indian giant squirrel,Welby,Male,2021-03-19,69,true
Washington Zoo,Ctenophorus ornatus,Ornate rock dragon,Lenard,Male,2021-10-14,20,false
Toronto Zoo,Cynictis penicillata,"Meerkat, red",Benn,Male,2023-02-24,35,true
Toronto Zoo,Psophia viridis,"Trumpeter, dark-winged",Drake,Male,2023-07-23,76,false
Toronto Zoo,Propithecus verreauxi,Verreaux's sifaka,Janenna,Female,2021-12-10,68,false
Washington Zoo,Corallus hortulanus cooki,Cook's tree boa,Kerr,Male,2022-04-08,50,false
Toronto Zoo,Libellula quadrimaculata,"Skimmer, four-spotted",Tiffie,Female,2023-05-11,76,true
Vancouver Zoo,Canis dingo,Dingo,Julieta,Female,2020-12-15,39,false
Vancouver Zoo,Uraeginthus granatina,Common grenadier,Thayne,Male,2024-04-03,38,false
Washington Zoo,Mazama gouazoubira,"Deer, savannah",Arni,Male,2021-02-01,49,true
Vancouver Zoo,Macropus rufus,"Kangaroo, red",Ewen,Male,2022-10-27,75,false
Edmonton Zoo,Lamprotornis nitens,"Starling, red-shouldered glossy",Ronda,Female,2021-12-04,46,true
Washington Zoo,Mycteria leucocephala,"Stork, painted",Davine,Female,2022-09-18,26,true
Toronto Zoo,Lasiodora parahybana,Salmon pink bird eater tarantula,Scarlet,Female,2021-07-25,38,false
Washington Zoo,Semnopithecus entellus,Common langur,Linnet,Female,2022-09-06,80,true
Vancouver Zoo,Naja nivea,Cape cobra,Perkin,Male,2023-03-08,71,false
Toronto Zoo,Antechinus flavipes,Brown antechinus,Grenville,Male,2022-03-18,38,true
Vancouver Zoo,Eumetopias jubatus,"Lion, steller sea",Ruttger,Male,2022-12-21,44,false
Toronto Zoo,Cereopsis novaehollandiae,"Goose, cape barren",Christie,Female,2021-06-04,28,true
Edmonton Zoo,Plocepasser mahali,White-browed sparrow weaver,Gabbie,Male,2021-09-26,67,false
Washington Zoo,Acrobates pygmaeus,Feathertail glider,Elwood,Male,2021-12-07,57,false
Vancouver Zoo,Canis mesomelas,"Jackal, silver-backed",Em,Female,2023-11-02,23,true
Edmonton Zoo,Recurvirostra avosetta,Pied avocet,Mozes,Male,2021-08-03,65,false
Vancouver Zoo,Rhabdomys pumilio,Four-striped grass mouse,Rogerio,Male,2023-11-24,55,false
Edmonton Zoo,Sciurus niger,"Squirrel, eastern fox",Kristoffer,Male,2024-04-15,22,true
Toronto Zoo,unavailable,Adouri (unidentified),Perle,Female,2022-08-14,65,false
Vancouver Zoo,Graspus graspus,"Crab, sally lightfoot",Curtice,Male,2021-07-18,71,true
Toronto Zoo,Fulica cristata,"Coot, red-knobbed",Joyous,Female,2023-12-22,34,true
Vancouver Zoo,Hymenolaimus malacorhynchus,"Duck, mountain",Silvio,Male,2022-10-22,32,false
Toronto Zoo,Fregata magnificans,"Bird, magnificent frigate",Bary,Male,2023-05-13,51,false
Toronto Zoo,unavailable,Gecko (unidentified),Irvin,Male,2023-08-17,26,true
Vancouver Zoo,Crotalus cerastes,"Rattlesnake, horned",Ichabod,Male,2021-10-10,41,true
Toronto Zoo,Psophia viridis,"Trumpeter, dark-winged",Dale,Male,2021-10-11,50,true
Vancouver Zoo,Eolophus roseicapillus,"Cockatoo, roseate",Nataniel,Male,2023-10-22,22,false
Edmonton Zoo,Bubo virginianus,Great horned owl,Coraline,Female,2024-03-01,40,false
Washington Zoo,Acanthaster planci,"Starfish, crown of thorns",Claresta,Female,2022-08-25,74,false
Edmonton Zoo,Odocoileus hemionus,Black-tailed deer,Pippa,Female,2022-11-26,18,false
Vancouver Zoo,Ara chloroptera,Green-winged macaw,Jennee,Female,2021-11-01,73,true
Toronto Zoo,Theropithecus gelada,Bleeding heart monkey,Sharyl,Female,2023-05-14,51,true
Washington Zoo,Oryx gazella,Beisa oryx,Bendicty,Male,2022-08-19,62,true
Toronto Zoo,unavailable,Civet (unidentified),Dal,Male,2023-05-13,58,false
Vancouver Zoo,Plegadis falcinellus,"Ibis, glossy",Glenna,Female,2023-07-01,55,false
Washington Zoo,Amphibolurus barbatus,Western bearded dragon,Elton,Male,2021-10-05,20,true
Vancouver Zoo,Cacatua tenuirostris,Long-billed cockatoo,Roslyn,Female,2023-10-03,62,true
Vancouver Zoo,Iguana iguana,"Iguana, common green",Emmet,Male,2022-05-06,27,false
Vancouver Zoo,Eolophus roseicapillus,"Cockatoo, red-breasted",Rorie,Female,2024-01-20,49,false
Washington Zoo,Tyto novaehollandiae,Australian masked owl,Anson,Male,2023-03-09,29,false
Edmonton Zoo,Lama pacos,Alpaca,Gilda,Female,2021-03-04,72,false
Edmonton Zoo,Tockus flavirostris,Yellow-billed hornbill,Wilden,Male,2022-08-19,70,true
Vancouver Zoo,unavailable,Savannah deer (unidentified),Bobby,Female,2022-07-30,50,false
Toronto Zoo,Limosa haemastica,Hudsonian godwit,Meg,Female,2023-06-28,69,true
Toronto Zoo,Colaptes campestroides,"Flicker, campo",Dot,Female,2022-05-29,23,false
Washington Zoo,Tamandua tetradactyla,"Tamandua, southern",Indira,Female,2022-01-20,39,false
Toronto Zoo,Panthera leo,"Lion, african",Zelig,Male,2021-10-14,36,true
Edmonton Zoo,Paroaria gularis,Red-capped cardinal,Dredi,Female,2023-12-04,73,true
Washington Zoo,Eubalaena australis,Baleen whale,Donnie,Male,2024-03-09,38,true
Edmonton Zoo,Vulpes vulpes,"Fox, asian red",Grier,Female,2022-03-03,74,false
Vancouver Zoo,Dicrurus adsimilis,Fork-tailed drongo,Wini,Female,2022-04-15,53,true
Edmonton Zoo,Felis pardalis,Ocelot,Corrina,Female,2021-07-04,44,false
Vancouver Zoo,Uraeginthus angolensis,Blue waxbill,Willy,Male,2022-04-09,57,true
Toronto Zoo,Canis aureus,Asiatic jackal,Joye,Female,2023-10-14,62,true
Vancouver Zoo,Equus burchelli,Common zebra,Florida,Female,2024-02-06,76,true
Toronto Zoo,Bucephala clangula,"Goldeneye, barrows",Robby,Male,2023-06-13,55,true
Vancouver Zoo,Bassariscus astutus,Ringtail,Janeen,Female,2021-04-15,21,false
Toronto Zoo,Meles meles,"Badger, european",Panchito,Male,2024-01-08,72,false
Toronto Zoo,Corythornis cristata,Malachite kingfisher,Carolan,Female,2021-12-23,59,false
Vancouver Zoo,Redunca redunca,"Reedbuck, bohor",Viole,Female,2022-04-13,28,false
Vancouver Zoo,Laniaurius atrococcineus,"Shrike, crimson-breasted",Carolus,Male,2021-04-06,59,false
Vancouver Zoo,Cynictis penicillata,Red meerkat,Baxie,Male,2021-06-25,67,false
Toronto Zoo,Limosa haemastica,"Godwit, hudsonian",Chane,Male,2024-01-06,49,true
Vancouver Zoo,Dasypus novemcinctus,"Armadillo, common long-nosed",Teresita,Female,2022-07-23,71,false
Edmonton Zoo,Lama guanicoe,Guanaco,Randene,Female,2022-01-03,40,false
Washington Zoo,Carduelis uropygialis,"Siskin, yellow-rumped",Ricky,Female,2023-05-07,48,false
Vancouver Zoo,Cracticus nigroagularis,"Bird, pied butcher",Olvan,Male,2022-04-27,63,false
Vancouver Zoo,Philetairus socius,"Weaver, sociable",Ulrike,Female,2021-05-15,37,false
Edmonton Zoo,Dicrostonyx groenlandicus,Arctic lemming,Thurstan,Male,2021-06-27,20,true
Vancouver Zoo,Ciconia episcopus,"Stork, white-necked",Scotty,Male,2023-03-23,19,true
Washington Zoo,Acridotheres tristis,"Mynah, indian",Melanie,Female,2022-01-08,28,true
Edmonton Zoo,Gabianus pacificus,"Gull, pacific",Lisetta,Female,2022-11-03,38,false
Edmonton Zoo,Ninox superciliaris,"Owl, white-browed",Guido,Male,2022-11-27,20,false
Vancouver Zoo,Callipepla gambelii,"Quail, gambel's",Addia,Female,2021-08-26,56,true
Toronto Zoo,Iguana iguana,Common green iguana,Hilario,Male,2023-01-03,37,true
Washington Zoo,Megaderma spasma,"Bat, asian false vampire",Nicole,Female,2024-01-07,61,false
Edmonton Zoo,Chauna torquata,Crested screamer,Storm,Female,2023-12-04,70,false
Washington Zoo,Castor fiber,"Beaver, european",Catarina,Female,2021-04-14,75,true
Edmonton Zoo,Bucephala clangula,"Goldeneye, barrows",Kandace,Female,2022-06-16,19,false
Edmonton Zoo,Acrantophis madagascariensis,Malagasy ground boa,Nonie,Female,2022-11-24,55,true
Washington Zoo,Thamnolaea cinnmomeiventris,Mocking cliffchat,Ahmed,Male,2022-03-22,21,false
Washington Zoo,Lamprotornis chalybaeus,Greater blue-eared starling,Candis,Female,2021-06-03,30,true
Vancouver Zoo,Oryx gazella callotis,Fringe-eared oryx,Andrej,Male,2022-02-26,20,true
Toronto Zoo,Camelus dromedarius,"Camel, dromedary",Beniamino,Male,2021-03-12,26,true
Washington Zoo,Centrocercus urophasianus,Sage hen,Yolande,Female,2023-11-11,46,false
Toronto Zoo,Paroaria gularis,Black-throated cardinal,Mateo,Male,2022-08-07,48,false
Vancouver Zoo,Passer domesticus,House sparrow,Kalli,Female,2021-11-22,34,true
Washington Zoo,Thamnolaea cinnmomeiventris,Mocking cliffchat,Skip,Male,2021-12-10,48,true
Edmonton Zoo,Salvadora hexalepis,Western patch-nosed snake,Daile,Female,2022-02-22,73,false
Edmonton Zoo,Crocuta crocuta,Spotted hyena,Inga,Female,2023-09-02,32,true
Toronto Zoo,Cebus apella,"Capuchin, black-capped",Moreen,Female,2022-08-09,27,true
Edmonton Zoo,Francolinus leucoscepus,Yellow-necked spurfowl,Kikelia,Female,2023-12-20,76,true
Vancouver Zoo,Nesomimus trifasciatus,Galapagos mockingbird,Clarie,Female,2021-07-17,68,false
Washington Zoo,Crotalus cerastes,Horned rattlesnake,Eric,Male,2021-02-26,50,false
Washington Zoo,Equus burchelli,"Zebra, plains",Chaddie,Male,2021-12-20,53,true
Vancouver Zoo,Ramphastos tucanus,"Toucan, white-throated",Jillian,Female,2021-08-05,56,false
Washington Zoo,Lepilemur rufescens,"Lemur, sportive",Sybil,Female,2020-12-14,21,false
Washington Zoo,Pelecanus occidentalis,Brown pelican,Isabeau,Female,2024-01-11,27,false
Toronto Zoo,unavailable,Butterfly (unidentified),Rodrigo,Male,2024-02-17,31,true
Toronto Zoo,Manouria emys,Burmese brown mountain tortoise,Oberon,Male,2020-12-13,20,false
Vancouver Zoo,Acrobates pygmaeus,"Glider, feathertail",Nathaniel,Male,2022-02-07,53,false
Washington Zoo,Anas punctata,"Teal, hottentot",Annabel,Female,2022-03-12,31,true
Washington Zoo,Mazama gouazoubira,"Brocket, brown",Minnnie,Female,2021-04-19,54,true
Toronto Zoo,Felis wiedi or Leopardus weidi,Margay,Addi,Female,2021-07-14,21,false
Edmonton Zoo,Chlidonias leucopterus,White-winged black tern,Mollee,Female,2021-04-02,45,false
Toronto Zoo,Pedetes capensis,Springhare,Libby,Female,2023-02-05,49,false
Vancouver Zoo,Panthera leo,"Lion, african",Evania,Female,2023-12-14,26,false
Washington Zoo,Paraxerus cepapi,"Squirrel, african bush",Zelig,Male,2023-08-21,78,true
Edmonton Zoo,Funambulus pennati,Palm squirrel,Giffie,Male,2021-07-16,40,true
Vancouver Zoo,Phoca vitulina,Common seal,Parnell,Male,2023-07-30,74,false
Vancouver Zoo,Varanus sp.,"Legaan, Monitor (unidentified)",Grantley,Male,2023-11-15,77,true
Toronto Zoo,Raphicerus campestris,Steenbuck,Jaymie,Male,2021-01-15,60,true
Toronto Zoo,Ammospermophilus nelsoni,Antelope ground squirrel,Lotty,Female,2023-07-10,55,true
